time,test_date,TI_low_bound,RM_percent_above_0_5,profitable_buy_hours_RM,profitable_buy_hours_TI,profitable_buy_hours,profitable_sell_hours_RM,profitable_sell_hours_TI,profitable_sell_hours
2026-06-05 00:46:09.191378,2026-03-06 12:00:00,0.495,60,"[0, 1, 2, 3, 4, 6, 7, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 14, 15, 16, 17, 18, 19, 23]","[0, 1, 2, 3, 4, 6, 7, 10, 11, 14, 15, 16, 17, 18, 19, 23]","[1, 2, 8, 11, 14, 16, 17, 19, 21, 22, 23]","[8, 9, 13, 14, 15, 16, 17, 19]","[8, 14, 16, 17, 19]"
2026-06-05 01:03:03.451062,2026-03-06 12:00:00,0.495,60,"[0, 1, 2, 3, 4, 6, 7, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 14, 15, 16, 17, 18, 19, 23]","[0, 1, 2, 3, 4, 6, 7, 10, 11, 14, 15, 16, 17, 18, 19, 23]","[1, 2, 8, 11, 14, 16, 17, 19, 21, 22, 23]","[8, 9, 13, 15, 16, 17, 19]","[8, 16, 17, 19]"
2026-06-05 22:21:06.421643,2026-03-07 11:00:00,0.495,60,"[0, 1, 2, 3, 4, 6, 7, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 14, 15, 16, 17, 18, 19, 23]","[0, 1, 2, 3, 4, 6, 7, 10, 11, 14, 15, 16, 17, 18, 19, 23]","[1, 8, 17, 19, 22, 23]","[8, 9, 13, 15]",[8]
2026-06-06 01:06:20.125225,2026-03-07 11:00:00,0.495,60,"[0, 1, 2, 3, 4, 6, 7, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 14, 15, 16, 17, 18, 19, 23]","[0, 1, 2, 3, 4, 6, 7, 10, 11, 14, 15, 16, 17, 18, 19, 23]","[1, 8, 16, 17, 19, 22, 23]","[8, 9, 13, 15]",[8]
2026-06-06 21:36:58.152440,2026-03-08 07:00:00,0.495,60,"[0, 1, 2, 3, 4, 6, 7, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 14, 15, 16, 17, 18, 19, 23]","[0, 1, 2, 3, 4, 6, 7, 10, 11, 14, 15, 16, 17, 18, 19, 23]","[1, 8, 17, 19, 22, 23]","[8, 9, 13, 15]",[8]
2026-06-07 11:03:09.942950,2026-03-08 10:00:00,0.495,60,"[0, 1, 3, 4, 5, 7, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 21, 22, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 10, 14, 15, 16, 17, 18, 19, 23]","[0, 1, 3, 4, 5, 7, 10, 14, 15, 16, 17, 18, 19, 23]","[1, 2, 8, 11, 14, 16, 17, 19, 22, 23]","[7, 8, 9, 14, 15, 17]","[8, 14, 17]"
2026-06-07 11:36:40.092213,2026-03-08 10:00:00,0.495,60,"[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22]","[0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 14, 15, 16, 17, 18, 19, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 14, 15, 16, 17, 18, 19]","[1, 2, 8, 11, 14, 16, 17, 19, 22, 23]","[7, 8, 9, 15, 16, 17]","[8, 16, 17]"
2026-06-07 14:42:31.463772,2026-03-09 02:00:00,0.495,60,"[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22]","[0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 14, 15, 16, 17, 18, 19, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 14, 15, 16, 17, 18, 19]","[1, 2, 8, 11, 14, 16, 17, 19, 22, 23]","[7, 8, 9, 15, 17]","[8, 17]"
2026-06-07 18:12:58.161205,2026-03-09 02:00:00,0.495,60,"[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22]","[0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 14, 15, 16, 17, 18, 19, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 14, 15, 16, 17, 18, 19]","[1, 2, 8, 11, 14, 16, 17, 19, 22, 23]","[7, 8, 9, 15, 17]","[8, 17]"
2026-06-07 21:31:32.062814,2026-03-09 15:00:00,0.495,60,"[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22]","[0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 14, 15, 16, 17, 18, 19, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 14, 15, 16, 17, 18, 19]","[1, 2, 8, 11, 14, 16, 17, 19, 22, 23]","[7, 8, 9, 15, 17]","[8, 17]"
2026-06-07 23:39:51.088057,2026-03-09 15:00:00,0.495,60,"[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 14, 15, 16, 17, 18, 19, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 14, 15, 16, 17, 18, 19, 23]","[1, 2, 8, 11, 14, 16, 17, 19, 22, 23]","[7, 8, 9, 15, 17]","[8, 17]"
2026-06-08 09:51:12.891739,2026-03-04 12:00:00,0.495,60,"[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 14, 15, 16, 17, 18, 19, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 14, 15, 16, 17, 18, 19, 23]","[1, 2, 8, 11, 14, 16, 17, 19, 22, 23]","[7, 8, 9, 15, 17]","[8, 17]"
2026-06-08 11:31:13.476063,2026-03-05 00:00:00,0.495,60,"[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 14, 15, 16, 17, 18, 19, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 14, 15, 16, 17, 18, 19, 23]","[1, 2, 8, 11, 14, 16, 17, 19, 22, 23]","[7, 8, 9, 15, 17]","[8, 17]"
2026-06-08 13:44:11.380089,2026-03-05 02:00:00,0.495,60,"[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 14, 15, 16, 17, 18, 19, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 14, 15, 16, 17, 18, 19, 23]","[1, 2, 8, 11, 14, 16, 17, 19, 22, 23]","[7, 8, 9, 15, 17]","[8, 17]"
2026-06-08 17:53:07.363287,2026-03-05 05:00:00,0.495,60,"[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 14, 15, 16, 17, 18, 19, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 14, 15, 16, 17, 18, 19, 23]","[1, 2, 8, 11, 14, 16, 17, 19, 22, 23]","[7, 8, 9, 15, 17]","[8, 17]"
2026-06-09 11:52:37.626472,2026-03-06 00:00:00,0.495,60,"[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 14, 15, 16, 17, 18, 19, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 14, 15, 16, 17, 18, 19, 23]","[1, 2, 8, 11, 14, 16, 17, 19, 22, 23]","[7, 8, 9, 15, 17]","[8, 17]"
2026-06-09 15:39:36.004465,2026-03-06 00:00:00,0.495,60,"[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 14, 15, 16, 17, 18, 19, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 14, 15, 16, 17, 18, 19, 23]","[1, 2, 8, 11, 14, 16, 17, 19, 22, 23]","[7, 8, 9, 15, 17]","[8, 17]"
2026-06-09 15:40:22.614067,,0.495,60,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 10, 14, 15, 16, 17, 18, 19, 22, 23]","[0, 1, 2, 3, 4, 5, 7, 10, 14, 15, 16, 17, 18, 19, 22, 23]","[1, 2, 8, 14, 16, 17, 22, 23]","[8, 9, 15, 16, 17]","[8, 16, 17]"
