,Feature,rank
0,stoch_diff_prev_109,17.5
1,stoch_diff_prev_53,24.0
2,stoch_diff_prev_125,43.0
3,linear_reg_angle,47.0
4,linear_reg_angle_prev_37,63.5
5,stoch_diff_prev_1,143.0
6,stoch_diff_prev_29,177.5
7,stoch_slowk_prev_49,188.0
8,linear_reg_angle_prev_33,191.0
9,stoch_diff_prev_129,411.0
10,stoch_diff_prev_169,421.0
11,stoch_slowk_prev_29,422.5
12,stoch_diff_prev_89,437.0
13,stoch_slowd_prev_137,446.5
14,rsi_prev_177,450.0
15,stoch_slowk,452.5
16,stoch_slowk_prev_173,454.0
17,close_prev_1,458.0
18,stoch_slowd,472.5
19,rsi_prev_57,473.5
20,stoch_slowd_prev_1,474.0
21,stoch_slowd_prev_69,476.5
22,stoch_slowk_prev_93,478.0
23,stoch_slowd_prev_109,478.0
24,linear_reg_angle_prev_181,484.0
25,high_prev_1,484.0
26,stoch_slowk_prev_69,484.5
27,rsi_prev_45,484.5
28,rsi_prev_1,492.5
29,volume_prev_173,496.5
30,stoch_diff_prev_141,496.5
31,stoch_slowd_prev_189,502.5
32,stoch_diff_prev_81,505.5
33,stoch_diff_prev_97,508.0
34,stoch_diff_prev_17,509.0
35,stoch_slowd_prev_97,511.0
36,stoch_slowd_prev_49,512.0
37,macdhist_prev_173,515.0
38,stoch_slowd_prev_89,517.0
39,linear_reg_prev_9,518.5
40,stoch_diff_prev_61,523.0
41,linear_reg_angle_prev_9,530.0
42,stoch_slowd_prev_25,532.5
43,atr_prev_9,539.5
44,rsi_prev_61,542.5
45,linear_reg_angle_prev_41,555.5
46,linear_reg_angle_prev_13,558.5
47,stoch_slowk_prev_89,559.5
48,linear_reg_angle_prev_21,560.5
49,rsi_prev_97,567.0
50,stoch_diff_prev_145,572.5
51,rsi,572.5
52,linear_reg_prev_5,577.5
53,rsi_prev_5,577.5
54,stoch_slowd_prev_133,578.0
55,rsi_prev_161,578.0
56,rsi_prev_173,579.5
57,volume_prev_1,580.5
58,stoch_diff_prev_157,585.5
59,linear_reg_prev_189,588.0
60,rsi_prev_185,589.5
61,stoch_slowk_prev_165,591.5
62,volume_prev_5,592.5
63,rsi_prev_165,593.5
64,stoch_slowk_prev_5,594.0
65,stoch_slowd_prev_101,594.5
66,stoch_slowd_prev_29,598.5
67,linear_reg_angle_prev_29,602.5
68,stoch_slowk_prev_65,604.0
69,high_prev_129,608.0
70,stoch_slowk_prev_17,610.0
71,linear_reg_prev_17,610.0
72,linear_reg_angle_prev_101,612.5
73,stoch_slowk_prev_121,614.0
74,linear_reg_angle_prev_169,615.5
75,stoch_diff_prev_73,621.5
76,stoch_slowk_prev_101,623.5
77,volume_prev_77,625.5
78,stoch_slowk_prev_73,630.5
79,stoch_slowk_prev_141,632.0
80,close_prev_137,632.5
81,stoch_diff_prev_185,636.5
82,volume_prev_49,638.5
83,stoch_slowk_prev_153,645.0
84,volume_prev_45,645.5
85,stoch_slowk_prev_57,648.5
86,stoch_slowd_prev_61,655.0
87,linear_reg_angle_prev_5,657.0
88,stoch_slowk_prev_1,658.5
89,volume_prev_69,661.5
90,rsi_prev_53,665.5
91,stoch_slowk_prev_137,674.0
92,stoch_slowd_prev_157,675.5
93,linear_reg_prev_1,677.0
94,stoch_diff_prev_93,680.0
95,stoch_slowd_prev_145,681.5
96,volume_prev_137,688.0
97,linear_reg_angle_prev_149,688.5
98,volume_prev_25,690.0
99,rsi_prev_77,698.5
100,linear_reg_angle_prev_185,699.5
101,stoch_diff_prev_105,699.5
102,linear_reg_angle_prev_125,703.5
103,linear_reg_angle_prev_85,703.5
104,stoch_slowd_prev_33,704.5
105,volume_prev_53,706.5
106,stoch_slowk_prev_81,707.0
107,stoch_slowd_prev_81,707.5
108,linear_reg_prev_13,709.5
109,rsi_prev_169,709.5
110,rsi_prev_37,709.5
111,linear_reg,710.5
112,volume_prev_81,711.5
113,linear_reg_prev_69,718.0
114,atr_prev_13,722.5
115,atr_prev_37,726.0
116,stoch_slowd_prev_45,727.5
117,rsi_prev_33,731.5
118,stoch_diff_prev_117,731.5
119,volume_prev_141,735.5
120,macdhist_prev_177,740.5
121,linear_reg_angle_prev_153,740.5
122,macdhist_prev_169,744.0
123,stoch_diff_prev_57,745.0
124,rsi_prev_73,749.5
125,stoch_diff_prev_177,754.5
126,linear_reg_angle_prev_109,754.5
127,rsi_prev_141,756.5
128,rsi_prev_9,766.5
129,stoch_slowd_prev_169,773.5
130,open_prev_181,774.5
131,rsi_prev_41,776.5
