,Feature,rank
0,rsi_prev_12,38.5
1,rsi,42.5
2,macdsignal_dir,408.0
3,linear_reg_angle_prev_96,612.0
4,linear_reg_angle_prev_40,714.5
5,stoch_slowd,717.5
6,stoch_slowk,746.5
7,rsi_prev_96,755.5
8,linear_reg_angle,789.5
9,linear_reg,885.5
10,rsi_prev_24,899.5
11,macdsignal_dir_prev_8,902.5
12,stoch_slowk_dir_prev_96,920.5
13,macdsignal_dir_prev_60,925.5
14,rsi_prev_8,933.5
15,linear_reg_angle_prev_8,954.5
16,stoch_slowd_prev_96,979.5
17,stoch_slowk_dir_prev_4,993.5
18,linear_reg_angle_prev_12,1010.5
19,rsi_prev_44,1017.5
20,stoch_slowd_prev_36,1020.5
21,stoch_diff,1036.5
22,rsi_prev_32,1073.5
23,macdsignal_dir_prev_40,1079.5
24,stoch_diff_prev_4,1084.5
25,macdsignal_dir_prev_12,1123.5
26,stoch_slowd_prev_92,1133.5
27,stoch_slowk_prev_36,1138.5
28,stoch_slowd_dir_prev_68,1146.5
29,stoch_slowd_dir_prev_16,1163.5
30,macdsignal_dir_prev_76,1163.5
31,stoch_slowk_dir_prev_8,1179.5
32,stoch_diff_prev_44,1196.5
33,stoch_diff_prev_52,1202.5
34,stoch_slowk_dir_prev_68,1211.5
35,stoch_slowk_dir_prev_80,1230.5
36,rsi_prev_72,1231.5
37,stoch_slowk_prev_96,1236.5
38,stoch_diff_prev_32,1242.5
39,stoch_slowd_dir_prev_52,1244.5
40,rsi_prev_36,1245.5
41,stoch_diff_prev_12,1247.5
42,stoch_diff_prev_96,1255.5
43,stoch_slowd_prev_28,1263.5
44,macdhist_prev_92,1279.5
45,linear_reg_angle_prev_80,1282.5
46,stoch_slowd_prev_76,1286.5
47,rsi_prev_4,1308.5
48,stoch_slowd_dir_prev_96,1311.5
49,stoch_slowd_dir_prev_56,1325.5
50,macdsignal_dir_prev_68,1332.5
51,stoch_slowk_prev_32,1333.5
52,stoch_slowk_dir_prev_32,1338.5
53,macd_dir_prev_60,1353.5
54,macd_dir_prev_76,1357.5
55,stoch_slowd_dir_prev_60,1358.5
56,stoch_slowd_dir,1364.5
57,stoch_slowd_dir_prev_92,1367.5
58,stoch_diff_prev_48,1395.5
59,linear_reg_prev_64,1406.5
60,linear_reg_angle_prev_36,1413.5
