,Feature,rank
0,rsi,3.0
1,linear_reg_angle_prev_180,50.0
2,macdsignal,126.0
3,rsi_prev_8,503.0
4,stoch_slowd_dir_prev_164,509.0
5,linear_reg_angle_prev_96,515.0
6,rsi_prev_128,525.0
7,stoch_slowk_dir_prev_84,532.0
8,macdsignal_dir_prev_16,532.0
9,rsi_prev_152,537.0
10,rsi_prev_100,547.0
11,stoch_slowd_dir_prev_108,564.0
12,macd_dir_prev_12,574.0
13,macd_dir_prev_60,575.0
14,linear_reg_angle_prev_184,575.0
15,stoch_diff_prev_164,583.0
16,stoch_slowd_dir,587.0
17,stoch_diff_prev_120,587.0
18,stoch_diff_prev_16,588.0
19,stoch_slowd_prev_144,588.0
20,rsi_prev_52,589.0
21,stoch_diff_prev_52,594.0
22,linear_reg_angle_prev_112,601.0
23,macdsignal_dir_prev_168,601.0
24,linear_reg_prev_60,602.0
25,rsi_prev_180,603.0
26,linear_reg_angle_prev_152,605.0
27,stoch_slowk_prev_184,613.0
28,stoch_slowd_prev_184,613.0
29,macdsignal_dir_prev_24,617.0
30,rsi_prev_140,618.0
31,rsi_prev_116,623.0
32,macd_dir_prev_20,633.0
33,rsi_prev_92,635.0
34,stoch_slowk_prev_68,637.0
35,macdhist_prev_168,642.5
36,rsi_prev_44,643.0
37,stoch_diff,644.0
38,linear_reg_angle_prev_132,646.0
39,stoch_slowd_dir_prev_104,652.0
40,linear_reg_angle,653.0
41,linear_reg_angle_prev_8,653.0
42,linear_reg_angle_prev_68,663.0
43,stoch_slowk_dir_prev_168,668.0
44,macdsignal_dir_prev_184,668.0
45,rsi_prev_144,669.0
46,macd,674.0
47,rsi_prev_72,677.0
48,rsi_prev_36,677.0
49,stoch_diff_prev_20,681.0
50,stoch_slowd_prev_36,682.0
51,linear_reg_angle_prev_104,684.5
52,stoch_diff_prev_108,685.0
53,linear_reg_angle_prev_136,686.0
54,macdhist_prev_12,688.0
55,macdhist_prev_76,688.0
56,stoch_slowd_prev_192,690.0
57,macdsignal_prev_4,702.0
58,stoch_slowd_dir_prev_84,702.0
59,stoch_diff_prev_56,703.0
60,macd_dir_prev_72,706.0
61,stoch_slowd_prev_20,706.0
62,linear_reg_angle_prev_124,710.0
63,stoch_slowk_prev_88,716.0
64,stoch_slowd_prev_132,724.0
65,macdsignal_dir_prev_164,726.0
66,stoch_diff_prev_40,727.0
67,macdhist_prev_68,733.0
68,stoch_slowd_prev_24,734.0
69,stoch_slowk_dir_prev_96,742.0
70,stoch_diff_prev_88,745.0
71,stoch_slowk_prev_172,746.0
72,macd_dir,747.0
73,stoch_slowd_prev_172,755.0
74,stoch_slowk_dir_prev_148,755.0
75,stoch_slowk_dir_prev_52,758.0
76,stoch_slowk_dir_prev_4,759.5
77,stoch_slowd_prev_88,764.0
78,stoch_diff_prev_8,764.0
79,macdsignal_dir_prev_156,765.0
80,rsi_prev_184,765.0
81,linear_reg_prev_64,768.5
82,rsi_prev_172,779.0
83,rsi_prev_104,779.0
