,Feature,rank
0,rsi_prev_12,8.0
1,rsi,16.0
2,macd_dir_prev_60,44.0
3,macdsignal_dir,46.0
4,macd_dir_prev_88,60.0
5,rsi_prev_44,66.0
6,stoch_slowd_prev_4,68.0
7,stoch_slowk,74.0
8,macdsignal_dir_prev_40,76.0
9,stoch_slowk_dir_prev_8,77.0
10,rsi_prev_24,79.0
11,stoch_slowd_dir_prev_72,79.0
12,macdsignal_dir_prev_28,80.0
13,stoch_slowd_dir_prev_52,81.0
14,stoch_diff_prev_4,81.0
15,linear_reg_angle,81.0
16,rsi_prev_96,83.0
17,linear_reg_angle_prev_8,85.0
18,macdsignal_dir_prev_60,91.0
19,stoch_slowk_dir_prev_48,91.0
20,macdsignal_dir_prev_48,96.0
21,stoch_slowd_dir_prev_68,105.0
22,macdsignal_dir_prev_88,107.0
23,macdhist_prev_88,113.0
24,rsi_prev_16,114.0
25,rsi_prev_88,114.0
26,linear_reg_angle_prev_40,116.0
27,macdsignal_prev_96,117.0
28,stoch_slowd_prev_96,122.0
29,stoch_slowd_dir_prev_92,123.0
30,stoch_diff_prev_48,125.0
31,rsi_prev_72,127.0
32,stoch_slowd_dir_prev_84,128.0
33,linear_reg_angle_prev_80,136.0
34,rsi_prev_92,147.0
35,macdsignal_dir_prev_92,147.0
36,macdhist_prev_92,148.0
37,linear_reg_angle_prev_16,154.0
38,stoch_slowk_dir_prev_68,156.0
39,stoch_diff_prev_44,158.0
40,macd_dir_prev_44,162.0
41,macdsignal_dir_prev_24,167.0
42,stoch_slowk_prev_96,168.0
43,rsi_prev_32,171.0
44,linear_reg_angle_prev_60,172.0
45,stoch_slowd_prev_12,178.0
46,stoch_slowd_prev_16,181.0
47,macdsignal_prev_20,198.0
48,stoch_slowk_prev_88,198.0
49,macdhist_prev_96,199.0
50,stoch_slowk_prev_32,202.0
51,stoch_slowk_dir_prev_4,207.0
52,stoch_slowd_dir_prev_88,210.0
53,macdhist_prev_84,211.0
54,rsi_prev_28,214.0
55,stoch_slowk_dir_prev_96,215.0
56,stoch_diff_prev_16,221.0
57,stoch_slowk_prev_48,222.0
58,stoch_slowk_dir_prev_80,223.0
59,linear_reg_angle_prev_56,224.0
60,linear_reg_prev_64,226.0
61,stoch_diff_prev_96,228.0
62,macd_dir_prev_80,228.0
63,macdhist_prev_20,230.0
64,macdsignal_dir_prev_76,230.0
65,macd_dir_prev_8,230.0
66,stoch_slowk_dir_prev_20,237.0
67,stoch_slowd_prev_36,242.0
68,linear_reg_prev_36,244.0
69,linear_reg_angle_prev_12,245.0
70,macdhist_prev_80,245.0
71,macdsignal_dir_prev_8,253.0
72,stoch_slowk_prev_36,253.0
73,rsi_prev_4,257.0
74,stoch_diff_prev_20,261.0
75,macdhist_prev_8,262.0
76,rsi_prev_20,264.0
77,macdsignal_dir_prev_36,267.0
78,stoch_slowd_prev_92,268.0
79,stoch_slowk_prev_24,272.0
80,stoch_slowd_dir_prev_16,273.0
81,stoch_slowd_prev_48,278.0
82,stoch_slowd_dir_prev_20,284.0
83,macd_prev_8,287.0
84,linear_reg_angle_prev_84,287.0
85,macd,288.0
86,linear_reg_prev_16,298.0
87,stoch_slowd_prev_68,299.0
88,macd_dir_prev_96,299.0
89,stoch_slowd_dir,300.0
90,stoch_slowk_prev_4,309.0
91,linear_reg,311.0
92,volume_prev_60,312.0
93,stoch_slowd_prev_40,313.0
94,volume_prev_16,313.0
95,linear_reg_angle_prev_52,317.0
96,stoch_diff,320.0
97,macdsignal_dir_prev_12,321.0
98,linear_reg_prev_40,321.0
99,rsi_prev_84,322.0
100,macdsignal_dir_prev_20,326.0
101,macd_dir_prev_64,329.0
102,linear_reg_angle_prev_96,333.0
103,macdsignal_dir_prev_96,333.0
104,stoch_slowd_prev_72,336.0
105,stoch_diff_prev_68,337.0
106,macdhist_prev_12,338.0
107,linear_reg_prev_96,341.0
108,macdhist_prev_72,352.0
109,volume_prev_36,353.0
110,linear_reg_prev_8,354.0
111,stoch_slowk_dir_prev_64,354.0
112,stoch_slowd_dir_prev_76,355.0
113,volume_prev_52,355.0
114,macdsignal_prev_32,358.0
115,stoch_slowk_dir_prev_56,358.0
116,rsi_prev_64,358.0
117,volume_prev_92,359.0
118,macdsignal_dir_prev_72,361.0
119,stoch_diff_prev_80,362.0
120,linear_reg_angle_prev_48,366.0
121,macd_dir_prev_48,367.0
122,macdsignal_dir_prev_52,371.0
123,volume_prev_76,372.0
124,macd_prev_28,373.0
125,macd_prev_68,374.0
126,rsi_prev_52,374.0
127,stoch_slowk_prev_52,377.0
128,linear_reg_prev_80,377.0
129,stoch_diff_prev_24,377.0
130,macd_dir_prev_84,382.0
131,stoch_slowk_prev_56,383.0
132,volume_prev_72,383.0
133,linear_reg_prev_12,383.0
134,stoch_slowd_prev_84,384.0
135,stoch_slowd_prev_88,385.0
136,volume_prev_48,390.0
137,stoch_slowk_prev_8,393.0
138,macd_dir_prev_12,397.0
139,rsi_prev_8,399.0
140,macd_dir_prev_20,401.0
