,Feature,rank
0,rsi,8.5
1,linear_reg_angle_prev_96,23.0
2,rsi_prev_12,24.5
3,macdsignal_dir,55.0
4,rsi_prev_8,265.5
5,stoch_slowd,265.5
6,linear_reg,272.5
7,macd_dir_prev_56,282.5
8,linear_reg_angle_prev_8,286.5
9,stoch_slowk_prev_72,306.5
10,linear_reg_angle_prev_40,310.5
11,macdsignal_dir_prev_8,311.5
12,stoch_diff_prev_12,312.5
13,stoch_slowk_dir_prev_68,319.5
14,stoch_slowd_prev_36,322.5
15,rsi_prev_60,328.5
16,stoch_slowk,331.5
17,stoch_diff_prev_4,334.5
18,stoch_diff,337.5
19,stoch_diff_prev_68,338.5
20,stoch_diff_prev_32,350.5
21,stoch_slowd_dir_prev_16,356.5
22,stoch_slowk_prev_8,357.5
23,linear_reg_angle_prev_12,358.5
24,macdsignal_dir_prev_12,359.5
25,stoch_slowd_prev_76,359.5
26,stoch_diff_prev_8,365.5
27,stoch_slowd_prev_52,365.5
28,stoch_slowk_prev_68,366.5
29,macdsignal_dir_prev_16,367.5
30,stoch_diff_prev_60,367.5
31,stoch_slowk_prev_28,371.5
32,stoch_slowk_prev_76,371.5
33,stoch_slowd_dir_prev_96,373.5
34,stoch_slowd_dir_prev_8,374.5
35,linear_reg_angle,375.5
36,rsi_prev_4,375.5
37,stoch_slowk_dir_prev_64,377.5
38,stoch_diff_prev_36,383.5
39,stoch_slowk_dir_prev_96,384.5
40,stoch_slowd_prev_28,392.5
41,rsi_prev_76,393.5
42,stoch_slowk_prev_60,396.5
43,stoch_slowk_dir_prev_52,398.5
44,stoch_slowk_prev_36,400.5
45,linear_reg_prev_92,403.5
46,stoch_slowd_dir_prev_92,409.5
47,rsi_prev_96,409.5
48,macdsignal_dir_prev_72,409.5
49,stoch_slowk_dir_prev_16,411.5
50,linear_reg_angle_prev_80,411.5
51,rsi_prev_24,413.5
52,linear_reg_prev_56,414.5
53,stoch_slowd_dir_prev_56,416.5
54,stoch_diff_prev_52,417.5
55,linear_reg_angle_prev_68,419.5
56,macd_dir_prev_72,419.5
57,macd_dir_prev_48,420.5
58,stoch_slowd_prev_60,426.5
