Feature,rank
btcd_volume_prev_192,23.0
btcdom_volume_prev_20,106.0
btcdom_volume_prev_160,483.0
btcd_volume_prev_264,833.5
btcdom_volume_prev_28,836.5
cci,848.5
btcdom_volume_prev_72,858.5
btcdom_high,877.5
btcdom_volume,883.5
btcdom_volume_prev_84,884.5
btcdom_volume_prev_228,891.5
btcdom_volume_prev_24,897.5
weekday,898.5
btcdom_volume_prev_180,900.5
btcdom_volume_prev_260,905.5
btcdom_volume_prev_104,912.5
btcdom_volume_prev_156,922.5
btcdom_volume_prev_36,934.5
close_prev_88,948.5
btcdom_volume_prev_56,970.5
btcdom_volume_prev_236,974.5
close_prev_272,976.5
btcdom_volume_prev_224,985.5
btcdom_volume_prev_216,985.5
low_prev_104,993.5
linear_reg_angle,995.5
cci_prev_140,999.5
cci_prev_112,999.5
btcdom_volume_prev_60,1002.5
btcd_volume_prev_96,1004.5
rsi_prev_272,1004.5
cci_prev_8,1010.5
stoch_slowd_prev_260,1011.5
low,1013.5
cci_prev_12,1027.5
close_prev_108,1027.5
stoch_slowd_prev_40,1028.5
btcdom_volume_prev_68,1038.5
btcdom_volume_prev_32,1039.5
rsi_prev_24,1044.5
open_prev_24,1047.5
close_prev_56,1063.5
low_prev_124,1080.5
open_prev_48,1086.5
rsi_prev_112,1090.5
stoch_diff_prev_228,1098.5
cci_prev_116,1105.5
cci_prev_160,1106.5
cci_prev_60,1107.5
close_prev_100,1110.5
atr_prev_88,1110.5
low_prev_44,1111.5
low_prev_224,1111.5
btcdom_volume_prev_76,1122.5
btcdom_low_prev_272,1124.5
atr_prev_16,1126.5
low_prev_260,1134.5
low_prev_76,1138.5
close_prev_12,1153.5
low_prev_96,1164.5
low_prev_84,1167.5
atr_prev_212,1169.5
low_prev_208,1170.5
high_prev_116,1171.5
cci_prev_168,1175.5
low_prev_252,1181.5
close_prev_60,1181.5
linear_reg_angle_prev_4,1181.5
cci_prev_28,1181.5
stoch_diff_prev_180,1186.5
open_prev_168,1186.5
close_prev_4,1186.5
stoch_slowd_prev_224,1188.5
stoch_slowd_prev_268,1190.5
atr_prev_148,1191.5
atr_prev_224,1191.5
close_prev_176,1202.5
close_prev_148,1202.5
rsi_prev_56,1214.5
high_prev_32,1219.5
btcd_volume_prev_216,1219.5
btcdom_high_prev_28,1219.5
stoch_slowk_prev_224,1227.5
stoch_diff_prev_164,1230.5
cci_prev_208,1236.5
stoch_diff_prev_92,1243.5
stoch_slowd_prev_256,1245.5
cci_prev_44,1251.5
low_prev_160,1252.5
btcdom_volume_prev_92,1254.5
stoch_diff_prev_252,1254.5
stoch_slowk_prev_172,1255.5
stoch_slowd_prev_264,1257.5
atr_prev_52,1257.5
stoch_slowk_prev_136,1258.5
rsi_prev_220,1259.5
stoch_diff_prev_132,1263.5
stoch_slowk_prev_264,1269.5
stoch_diff_prev_272,1271.5
rsi_prev_164,1274.5
stoch_diff,1274.5
rsi_prev_132,1276.5
stoch_diff_prev_172,1277.5
low_prev_88,1282.5
rsi_prev_156,1291.5
stoch_diff_prev_124,1293.5
rsi_prev_144,1302.5
atr_prev_120,1304.5
atr_prev_268,1308.5
stoch_slowk_prev_52,1308.5
btcd_low_prev_216,1309.0
stoch_slowd_prev_56,1312.5
stoch_diff_prev_196,1317.5
close_prev_152,1318.5
stoch_diff_prev_120,1319.5
low_prev_256,1320.5
low_prev_32,1320.5
high_prev_144,1325.5
rsi_prev_212,1327.5
low_prev_264,1327.5
cci_prev_240,1328.5
high_prev_244,1328.5
rsi_prev_16,1330.5
low_prev_24,1331.5
atr_prev_108,1335.5
btcd_volume_prev_24,1344.0
btcd_low_prev_48,1347.5
low_prev_176,1348.5
atr_prev_32,1349.5
stoch_slowk_prev_116,1350.5
cci_prev_104,1354.5
stoch_slowd_prev_188,1356.5
close_prev_168,1359.5
close_prev_48,1359.5
close_prev_112,1369.5
stoch_slowk_prev_84,1370.5
cci_prev_204,1377.5
btcdom_volume_prev_172,1381.5
cci_prev_84,1382.5
stoch_diff_prev_24,1387.5
open_prev_120,1392.5
close_prev_268,1397.5
stoch_diff_prev_168,1397.5
rsi_prev_52,1398.5
atr_prev_92,1398.5
atr_prev_40,1401.5
close_prev_8,1403.5
low_prev_232,1407.5
close_prev_216,1411.5
stoch_diff_prev_224,1412.5
btcd_close_prev_24,1414.5
rsi_prev_256,1415.5
stoch_diff_prev_204,1416.5
rsi_prev_176,1424.5
open_prev_144,1431.5
stoch_slowk_prev_256,1433.5
stoch_slowk_prev_60,1433.5
stoch_slowk_prev_36,1439.5
stoch_diff_prev_212,1439.5
stoch_diff_prev_44,1445.5
rsi_prev_76,1446.5
high_prev_88,1448.5
low_prev_168,1452.5
low_prev_80,1453.5
high_prev_84,1458.5
high_prev_52,1458.5
btcdom_open_prev_16,1459.5
linear_reg_angle_prev_16,1468.5
btcdom_volume_prev_112,1470.0
atr_prev_128,1471.5
atr_prev_176,1479.5
rsi_prev_236,1483.5
cci_prev_96,1486.5
close_prev_180,1500.5
btcd_high_prev_264,1504.0
cci_prev_108,1504.5
stoch_slowd_prev_236,1506.5
high_prev_168,1508.5
stoch_slowk_prev_112,1508.5
low_prev_236,1516.5
volume_prev_152,1522.5
cci_prev_136,1522.5
atr_prev_236,1524.5
high_prev_140,1526.5
close_prev_124,1530.5
cci_prev_120,1531.5
btcdom_open_prev_272,1533.0
rsi_prev_124,1536.5
high_prev_212,1537.5
stoch_diff_prev_4,1537.5
btcd_high_prev_192,1539.5
cci_prev_244,1545.5
btcdom_high_prev_16,1545.5
rsi_prev_188,1549.5
close_prev_136,1549.5
low_prev_116,1551.5
stoch_slowd_prev_116,1552.5
btcd_close,1557.0
close_prev_204,1564.5
rsi_prev_72,1566.5
rsi_prev_108,1566.5
high_prev_248,1566.5
stoch_slowk_prev_128,1569.5
high_prev_112,1569.5
btcd_high_prev_168,1570.5
high_prev_28,1570.5
open_prev_72,1580.5
low_prev_184,1583.5
low_prev_128,1583.5
btcdom_close,1586.0
atr_prev_116,1586.5
btcdom_volume_prev_44,1590.0
btcdom_volume_prev_40,1590.0
rsi_prev_64,1590.5
stoch_diff_prev_96,1590.5
btcd_open_prev_240,1591.0
high_prev_76,1594.5
btcd_open_prev_96,1601.0
stoch_slowd_prev_200,1601.5
atr_prev_208,1603.5
high_prev_60,1605.5
high_prev_148,1609.5
cci_prev_188,1610.5
btcd_high_prev_72,1611.0
rsi_prev_100,1613.5
high_prev_228,1613.5
low_prev_164,1614.5
atr_prev_160,1619.5
cci_prev_172,1619.5
high_prev_184,1621.5
atr_prev_256,1623.5
stoch_diff_prev_128,1624.5
rsi_prev_12,1626.5
stoch_slowd_prev_132,1628.5
stoch_slowd_prev_232,1631.5
btcdom_close_prev_188,1631.5
stoch_slowd_prev_228,1634.5
low_prev_212,1638.5
stoch_slowk_prev_176,1639.5
atr_prev_72,1639.5
rsi_prev_180,1642.5
rsi_prev_172,1646.5
stoch_slowd_prev_12,1651.5
atr_prev_64,1652.5
rsi_prev_88,1656.5
atr_prev_24,1658.5
volume_prev_28,1659.5
linear_reg_prev_272,1662.5
linear_reg_angle_prev_96,1667.5
high_prev_72,1667.5
stoch_slowk_prev_32,1668.5
stoch_slowk_prev_140,1669.5
close_prev_252,1671.5
stoch_slowd_prev_204,1672.5
close_prev_20,1673.5
linear_reg,1676.5
volume_prev_252,1676.5
rsi_prev_40,1678.5
stoch_diff_prev_232,1680.5
close_prev_220,1681.5
low_prev_136,1683.5
low_prev_156,1684.5
btcd_high,1687.0
stoch_slowk_prev_148,1689.5
stoch_slowk_prev_220,1690.5
low_prev_112,1691.5
cci_prev_144,1692.5
high_prev_36,1696.5
close_prev_84,1701.5
high_prev_104,1703.5
linear_reg_angle_prev_196,1710.5
volume_prev_224,1710.5
btcd_open_prev_264,1712.5
atr_prev_272,1715.5
stoch_slowd_prev_136,1716.5
btcdom_volume_prev_52,1716.5
stoch_diff_prev_268,1717.5
stoch_slowk_prev_160,1719.5
stoch_slowd_prev_140,1720.5
btcdom_low_prev_260,1720.5
stoch_slowk_prev_192,1724.5
btcdom_volume_prev_164,1725.5
low_prev_108,1727.5
stoch_slowd_prev_212,1727.5
stoch_diff_prev_104,1729.5
btcdom_volume_prev_144,1732.5
close_prev_236,1732.5
stoch_diff_prev_240,1733.5
volume_prev_140,1736.5
stoch_slowk_prev_72,1741.5
high_prev_160,1741.5
close_prev_144,1742.5
btcd_high_prev_24,1747.5
stoch_slowd_prev_32,1748.5
stoch_diff_prev_68,1748.5
close_prev_232,1748.5
stoch_diff_prev_264,1756.5
btcdom_low_prev_20,1756.5
btcdom_high_prev_268,1757.0
high_prev_8,1757.5
linear_reg_angle_prev_204,1762.5
high_prev_120,1762.5
linear_reg_angle_prev_180,1767.5
linear_reg_angle_prev_100,1768.5
stoch_slowd_prev_168,1768.5
close_prev_260,1772.5
cci_prev_48,1773.5
btcdom_volume_prev_168,1773.5
stoch_slowk_prev_232,1776.5
linear_reg_angle_prev_232,1780.5
atr_prev_252,1783.5
stoch_slowd_prev_64,1785.5
btcdom_high_prev_180,1796.5
high_prev_264,1796.5
stoch_slowk_prev_20,1797.5
stoch_diff_prev_48,1797.5
high_prev_16,1797.5
stoch_slowk_prev_56,1801.5
btcd_low_prev_72,1804.0
atr_prev_232,1804.5
atr_prev_152,1811.5
volume_prev_212,1818.5
cci_prev_36,1821.5
cci_prev_272,1824.5
stoch_slowk_prev_80,1825.5
btcdom_low_prev_8,1827.5
close_prev_224,1829.5
close_prev_128,1829.5
close_prev_104,1830.5
stoch_slowk_prev_24,1830.5
volume_prev_52,1833.5
btcd_volume_prev_48,1834.5
high_prev_236,1842.5
rsi_prev_192,1843.5
stoch_diff_prev_244,1846.5
btcd_volume_prev_72,1847.5
btcdom_open_prev_20,1848.5
stoch_slowd_prev_4,1848.5
stoch_slowd_prev_220,1851.5
stoch_slowk_prev_76,1852.5
btcd_open_prev_48,1853.0
rsi_prev_252,1854.5
atr_prev_200,1858.5
stoch_diff_prev_220,1861.5
btcd_low_prev_192,1863.5
close_prev_96,1868.5
low_prev_272,1869.5
volume_prev_56,1871.5
btcd_close_prev_216,1874.5
btcdom_low_prev_60,1874.5
low_prev_40,1877.5
btcdom_open,1880.5
stoch_slowd_prev_72,1885.5
btcdom_low_prev_188,1890.5
stoch_slowd_prev_156,1894.5
btcdom_volume_prev_64,1895.5
linear_reg_angle_prev_124,1898.5
stoch_slowk_prev_252,1899.5
stoch_slowk_prev_240,1900.5
stoch_diff_prev_248,1901.5
cci_prev_40,1902.5
btcdom_high_prev_64,1903.0
btcdom_low_prev_52,1903.5
funding_rate_prev_16,1905.5
rsi_prev_32,1905.5
linear_reg_angle_prev_220,1908.5
stoch_slowd_prev_60,1911.5
rsi,1921.5
btcd_low_prev_24,1922.0
high_prev_100,1922.5
linear_reg_angle_prev_160,1924.5
atr_prev_248,1928.5
linear_reg_angle_prev_60,1930.5
stoch_slowk_prev_4,1933.5
low_prev_140,1938.5
btcdom_volume_prev_248,1940.5
stoch_slowd_prev_244,1940.5
btcd_open_prev_216,1940.5
volume_prev_220,1943.5
volume_prev_232,1943.5
low_prev_12,1944.5
linear_reg_prev_156,1946.5
atr_prev_68,1948.5
linear_reg_angle_prev_24,1951.5
linear_reg_angle_prev_36,1952.5
stoch_slowd_prev_184,1954.5
btcd_high_prev_216,1955.0
rsi_prev_120,1955.5
high_prev_12,1958.5
btcdom_volume_prev_184,1959.5
linear_reg_angle_prev_32,1960.5
funding_rate_prev_72,1962.5
btcdom_low_prev_56,1965.0
linear_reg_angle_prev_28,1965.5
btcdom_open_prev_44,1966.0
stoch_diff_prev_8,1966.5
volume_prev_136,1966.5
open_prev_264,1969.5
funding_rate_prev_40,1970.5
volume_prev_200,1976.5
high_prev_176,1978.5
linear_reg_prev_248,1979.5
btcd_close_prev_48,1985.0
btcdom_open_prev_180,1988.5
cci_prev_212,1990.5
volume_prev_80,1990.5
linear_reg_prev_128,1991.5
high_prev_48,1993.5
atr_prev_216,1994.5
btcd_high_prev_240,1995.0
btcd_low_prev_120,1995.0
btcd_low_prev_264,1995.0
volume_prev_100,2001.5
high_prev_156,2002.5
macdhist_prev_192,2004.5
macd_prev_248,2011.5
stoch_diff_prev_72,2024.5
btcd_open,2028.0
btcdom_high_prev_164,2031.0
cci_prev_24,2031.5
high_prev_164,2034.5
btcdom_volume_prev_124,2035.5
macdhist_prev_100,2038.5
btcdom_high_prev_184,2041.0
volume_prev_120,2043.5
macd_prev_224,2043.5
volume_prev_216,2046.5
btcdom_volume_prev_240,2046.5
stoch_slowk_prev_8,2047.5
close_prev_264,2050.5
linear_reg_prev_228,2050.5
rsi_prev_200,2050.5
cci_prev_128,2052.5
close_prev_160,2053.5
btcd_low_prev_168,2057.0
open_prev_216,2059.5
high_prev_192,2061.5
stoch_slowk_prev_64,2063.5
stoch_slowd_prev_76,2063.5
low_prev_192,2063.5
linear_reg_angle_prev_80,2066.5
btcdom_close_prev_72,2072.0
stoch_diff_prev_100,2074.5
volume_prev_92,2076.5
stoch_slowd_prev_128,2079.5
volume_prev_68,2082.5
macd_prev_192,2084.5
linear_reg_prev_72,2084.5
stoch_diff_prev_260,2085.5
macdhist_prev_48,2089.5
btcdom_high_prev_104,2089.5
btcdom_high_prev_272,2091.0
macdhist_prev_224,2091.5
linear_reg_prev_4,2092.5
btcdom_close_prev_68,2095.0
cci_prev_92,2096.5
cci_prev_184,2100.5
rsi_prev_44,2100.5
volume_prev_84,2101.5
btcdom_close_prev_48,2102.0
rsi_prev_244,2103.0
funding_rate_prev_56,2106.0
volume_prev_192,2106.5
low_prev_72,2111.5
linear_reg_angle_prev_20,2114.5
btcd_open_prev_144,2114.5
macd_prev_100,2117.5
linear_reg_prev_200,2118.5
stoch_diff_prev_188,2123.5
stoch_slowd_prev_124,2124.5
btcdom_volume_prev_136,2124.5
btcdom_high_prev_8,2125.0
stoch_slowk_prev_244,2126.5
btcdom_high_prev_40,2127.0
volume_prev_184,2128.0
atr,2128.5
linear_reg_prev_52,2129.0
btcd_low_prev_240,2130.0
low_prev_204,2130.5
close_prev_32,2131.5
