number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_colsample_bytree,params_corr_thresh,params_feature_num,params_high_bound,params_is_unbalance,params_learning_rate,params_low_bound,params_max_bin,params_max_depth,params_max_train_size,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_sample_weight,params_subsample,state
737,699.2455541874037,2024-10-01 01:09:40.094969,2024-10-01 01:10:12.940007,0 days 00:00:32.845038,gbdt,0.8886442019305214,0.6157739899324175,143,0.5168205897931627,True,0.001254048404283908,0.03611947473389088,105,8,0.5149995465205116,730,294,2.9072760008509006e-05,0.17935185002013387,,0.6031092710858144,COMPLETE
355,681.0120822118004,2024-09-30 20:49:16.765147,2024-09-30 20:49:48.819724,0 days 00:00:32.054577,gbdt,0.8879208364064526,0.6376748796039817,139,0.5077825534339465,True,0.001159252457860884,0.030487530963080395,108,8,0.5008170209357793,759,299,1.7612276793869082e-05,1.2706432275303847,,0.5785345728129124,COMPLETE
274,675.1440361445791,2024-09-30 19:57:17.438308,2024-09-30 19:58:01.338927,0 days 00:00:43.900619,gbdt,0.8699220067893987,0.6000636612937645,204,0.5180999442940265,True,0.0011028481579026782,0.03337021227635172,115,8,0.5088206912646253,788,322,4.670947804259534e-05,0.18278451749920435,,0.6180755425697968,COMPLETE
291,631.5809475360692,2024-09-30 20:09:24.356040,2024-09-30 20:09:58.304386,0 days 00:00:33.948346,gbdt,0.8645611520448747,0.5869309024748067,137,0.5217463650675919,True,0.0011410989997241046,0.03739398138214225,111,8,0.5002789533944086,867,319,1.2827066450850869e-05,0.31561512626274035,,0.6339544251827871,COMPLETE
376,630.464294983643,2024-09-30 21:01:56.205844,2024-09-30 21:02:24.597665,0 days 00:00:28.391821,gbdt,0.867888222262898,0.6359115138115308,123,0.5053306548454928,True,0.0017972719221263185,0.04974386125685712,117,9,0.509037831528969,563,285,3.1832418878691188e-06,6.402118962066682e-08,,0.5765367230315163,COMPLETE
372,620.484716173446,2024-09-30 21:00:03.372934,2024-09-30 21:00:36.700090,0 days 00:00:33.327156,gbdt,0.88072591620414,0.6226564557326165,137,0.5070146704532532,True,0.0018390747904093866,0.04767874195361619,110,9,0.5089813544398033,666,286,8.96823170844134e-06,1.3956738768668198,,0.534307347729017,COMPLETE
515,618.3813771309398,2024-09-30 22:36:36.322104,2024-09-30 22:37:06.119206,0 days 00:00:29.797102,gbdt,0.8508410646791784,0.6071267072662921,138,0.518457062143848,True,0.0012470885307270358,0.04022644790217019,107,8,0.5003645597851546,755,331,1.0114030107726027e-05,1.8268110552822894,,0.5867703278337005,COMPLETE
360,610.298229977117,2024-09-30 20:51:58.061408,2024-09-30 20:52:41.930089,0 days 00:00:43.868681,gbdt,0.8840177900019222,0.6333013376415979,151,0.4985934009891933,True,0.0015646241257576102,0.031091508653833727,109,9,0.5011515956678727,776,267,8.963955139008897e-06,1.4626325016247215,,0.5686654482948841,COMPLETE
357,588.973010508014,2024-09-30 20:50:25.170627,2024-09-30 20:50:55.621649,0 days 00:00:30.451022,gbdt,0.8885465718075468,0.63494620657313,146,0.5026378246484171,True,0.00158946229811813,0.035569708995376724,108,8,0.5077377160702689,677,299,8.656509553728633e-06,0.8646074863180122,,0.561447287908664,COMPLETE
373,587.4997973955185,2024-09-30 21:00:36.700968,2024-09-30 21:01:07.289608,0 days 00:00:30.588640,gbdt,0.8793929049328602,0.6183940403003,133,0.5051278166096687,True,0.0019496363055644219,0.046891252989411,109,9,0.500630428772745,641,283,7.762724496067966e-06,1.7375870405534812,,0.5155668745106479,COMPLETE
