,number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_colsample_bytree,params_feature_num,params_is_unbalance,params_learning_rate,params_max_bin,params_max_depth,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
389,389,18039.999999999993,2024-02-27 03:18:21.288464,2024-02-27 03:18:42.848746,0 days 00:00:21.560282,gbdt,0.8644932085440681,64,True,0.0029802079941887525,73,4,2029,500,0.0003050568761042403,1.602614646722288e-05,0.3281862009667817,COMPLETE
183,183,17774.99999999999,2024-02-27 01:48:30.730210,2024-02-27 01:48:55.687765,0 days 00:00:24.957555,gbdt,0.8910739860908341,67,True,0.0012586365403152533,66,4,2203,453,0.0006230146620238576,2.371529168094644e-06,0.3636606941213403,COMPLETE
131,131,17524.999999999985,2024-02-27 01:28:09.878541,2024-02-27 01:28:21.774910,0 days 00:00:11.896369,gbdt,0.6866010952449154,96,True,0.000704494362894035,58,4,981,35,0.00020654998983054125,4.2575198678347914e-05,0.43891984327644895,COMPLETE
259,259,17364.99999999997,2024-02-27 02:19:37.087451,2024-02-27 02:20:00.258438,0 days 00:00:23.170987,gbdt,0.8778862020008701,64,True,0.0015556453027550535,69,4,2171,309,0.0003089144865402605,5.622054973589304e-06,0.3468694580203015,COMPLETE
214,214,17105.0,2024-02-27 02:01:02.141745,2024-02-27 02:01:26.471484,0 days 00:00:24.329739,gbdt,0.8463510003294336,50,True,0.001882627592043121,75,4,2368,453,0.0009875658984124995,4.3561069293275455e-05,0.41441184519099655,COMPLETE
160,160,17049.99999999998,2024-02-27 01:38:42.606755,2024-02-27 01:39:05.672799,0 days 00:00:23.066044,gbdt,0.8210033891985895,62,True,0.0016763425046932288,62,4,1978,478,0.0003649366445487692,1.2156566663516461e-05,0.4034654466151631,COMPLETE
189,189,16984.99999999999,2024-02-27 01:50:45.762177,2024-02-27 01:51:07.091236,0 days 00:00:21.329059,gbdt,0.867836146785758,61,True,0.0009409035597888111,66,4,2030,394,6.007910165852864e-05,5.7385457659753145e-06,0.34640979445275516,COMPLETE
252,252,16979.999999999985,2024-02-27 02:16:43.004112,2024-02-27 02:17:08.673535,0 days 00:00:25.669423,gbdt,0.8601553620612188,65,True,0.0015319081456034633,58,4,2302,388,0.00017672767887750825,8.772094656122675e-06,0.41756519214637444,COMPLETE
242,242,16874.999999999993,2024-02-27 02:11:51.233353,2024-02-27 02:12:15.611725,0 days 00:00:24.378372,gbdt,0.8220713755654264,63,True,0.001281345872171249,60,4,2210,488,0.0005417098988084962,3.061733342459819e-05,0.35246351828544065,COMPLETE
283,283,16869.999999999996,2024-02-27 02:30:39.552686,2024-02-27 02:31:08.163588,0 days 00:00:28.610902,goss,0.8593362817161939,59,True,0.002768778354984393,65,4,2858,478,0.0003987300250960332,5.939840211075812e-07,,COMPLETE
491,491,16864.999999999978,2024-02-27 04:06:02.326951,2024-02-27 04:06:25.299988,0 days 00:00:22.973037,gbdt,0.8995781017822664,58,True,0.0018146528115558379,69,4,2082,458,0.0006165783372967541,1.8101475832079328e-06,0.4220832293528136,COMPLETE
161,161,16860.000000000004,2024-02-27 01:39:05.673620,2024-02-27 01:39:26.819442,0 days 00:00:21.145822,gbdt,0.8158322811197257,64,True,0.0017548504537344206,60,4,1978,476,9.206689938179596e-05,1.2156523559732073e-05,0.36778119120926955,COMPLETE
219,219,16854.999999999985,2024-02-27 02:03:04.294374,2024-02-27 02:03:22.981745,0 days 00:00:18.687371,gbdt,0.8625253798703714,52,True,0.001243803863314464,69,4,1884,447,0.00022995894119179914,8.181990132080804e-06,0.34748644428531533,COMPLETE
248,248,16829.999999999978,2024-02-27 02:15:02.988985,2024-02-27 02:15:28.195888,0 days 00:00:25.206903,gbdt,0.8757730945594806,50,True,0.0007751479123898959,67,4,2288,477,0.00044667636092813446,9.804837088669094e-06,0.4009731792567311,COMPLETE
427,427,16790.000000000004,2024-02-27 03:34:50.725915,2024-02-27 03:35:15.569369,0 days 00:00:24.843454,gbdt,0.8829377393284283,81,True,0.0015244450398449374,68,4,2162,463,1.0281573148616758e-05,1.234020341130449e-05,0.3717265481491324,COMPLETE
270,270,16759.99999999998,2024-02-27 02:25:26.385511,2024-02-27 02:25:48.443257,0 days 00:00:22.057746,gbdt,0.8751188919171571,50,True,0.0021309640545130147,64,4,2110,475,0.00023237141949537124,1.2860441956564812e-06,0.35213944260987107,COMPLETE
307,307,16704.999999999975,2024-02-27 02:42:29.971443,2024-02-27 02:42:49.553956,0 days 00:00:19.582513,gbdt,0.8100682365758143,68,True,0.0031422034438085525,68,4,1850,476,0.0006171677039801288,1.0544598834069976e-05,0.32804561696060236,COMPLETE
165,165,16694.999999999978,2024-02-27 01:40:34.979873,2024-02-27 01:40:57.066647,0 days 00:00:22.086774,gbdt,0.8185214675066496,63,True,0.001746011644934026,59,4,2155,468,0.0003402852348999443,1.2454065922843156e-05,0.36905871473310303,COMPLETE
158,158,16674.999999999985,2024-02-27 01:37:54.673274,2024-02-27 01:38:17.733972,0 days 00:00:23.060698,gbdt,0.8133648633213078,64,True,0.0007950113141324853,67,4,2170,59,0.0003151757364467252,3.483729679680452e-05,0.3652951132106653,COMPLETE
208,208,16614.999999999996,2024-02-27 01:58:36.064733,2024-02-27 01:59:01.528377,0 days 00:00:25.463644,gbdt,0.8747789924463346,50,True,0.0010726466301295712,68,4,2374,510,0.0008283336185016308,2.2910553687799984e-05,0.3772436307123354,COMPLETE
484,484,16574.999999999985,2024-02-27 04:03:09.044797,2024-02-27 04:03:31.911501,0 days 00:00:22.866704,gbdt,0.8834304412196748,59,True,0.001487625541720793,61,4,2100,472,0.0014791220657619701,1.029724979265171e-05,0.4358944504831065,COMPLETE
182,182,16564.999999999985,2024-02-27 01:48:08.931458,2024-02-27 01:48:30.729409,0 days 00:00:21.797951,gbdt,0.8711581668644308,64,True,0.0012614840941740195,67,4,2061,454,0.0006337309867542857,5.489927114935602e-06,0.3583817524756454,COMPLETE
246,246,16554.999999999975,2024-02-27 02:13:26.174578,2024-02-27 02:13:51.158470,0 days 00:00:24.983892,gbdt,0.8764817841193938,66,True,0.0010973572623044494,67,4,2240,461,0.00020231606140138042,1.6303049836226494e-05,0.40079454575664714,COMPLETE
202,202,16494.99999999998,2024-02-27 01:56:20.445282,2024-02-27 01:56:42.225382,0 days 00:00:21.780100,gbdt,0.8520877530959857,50,True,0.0010514476648635653,65,4,2036,482,0.00018214539478437374,1.5114418111438016e-05,0.34745782871204994,COMPLETE
447,447,16459.999999999978,2024-02-27 03:43:47.702101,2024-02-27 03:44:14.540820,0 days 00:00:26.838719,gbdt,0.8534183962471267,64,True,0.00170383331855252,59,5,2007,454,0.0008420970753343437,3.856092779283028e-06,0.442529199321294,COMPLETE
181,181,16459.999999999975,2024-02-27 01:47:46.110220,2024-02-27 01:48:08.930764,0 days 00:00:22.820544,gbdt,0.8738091741189808,66,True,0.0012748519315141232,65,4,2035,473,0.0005345406259554697,6.695904629165695e-06,0.3608207175930956,COMPLETE
397,397,16449.999999999967,2024-02-27 03:21:25.205495,2024-02-27 03:21:49.289345,0 days 00:00:24.083850,gbdt,0.8008406573958119,75,True,0.002848074300554559,67,4,2107,512,3.762683835884747e-05,2.643424288187877e-05,0.3706293957426737,COMPLETE
196,196,16439.999999999996,2024-02-27 01:53:18.334919,2024-02-27 01:53:38.290417,0 days 00:00:19.955498,gbdt,0.8571596200768297,65,True,0.000902193594789174,69,4,1849,512,4.2973596877790645e-05,8.298572846970746e-07,0.3299215004537099,COMPLETE
180,180,16439.999999999985,2024-02-27 01:47:22.836347,2024-02-27 01:47:46.109489,0 days 00:00:23.273142,gbdt,0.8704934602077744,64,True,0.0012478742246723946,66,4,2032,476,0.00032534035631623625,5.119417403083958e-06,0.36356751579877905,COMPLETE
409,409,16409.99999999999,2024-02-27 03:26:50.998316,2024-02-27 03:27:16.421742,0 days 00:00:25.423426,gbdt,0.8663987168804785,76,True,0.0009452848163229424,57,4,2141,489,2.297054339947952e-05,1.6363247862519872e-05,0.4215047129559242,COMPLETE
309,309,16399.999999999978,2024-02-27 02:43:09.448721,2024-02-27 02:43:28.422737,0 days 00:00:18.974016,gbdt,0.8395517167150667,68,True,0.0031029660405023666,68,4,1731,472,0.000702530363269434,7.677505249259875e-05,0.3284458744482882,COMPLETE
438,438,16339.999999999998,2024-02-27 03:40:12.121413,2024-02-27 03:40:37.987230,0 days 00:00:25.865817,gbdt,0.8576211593732057,66,True,0.0005429846912833763,60,4,2240,384,0.00018353040064363738,2.916437544066504e-05,0.37676903717558285,COMPLETE
273,273,16259.999999999996,2024-02-27 02:26:35.651412,2024-02-27 02:26:56.923101,0 days 00:00:21.271689,gbdt,0.895217625974494,50,True,0.0016902494910923187,57,4,2045,468,0.0009575047710469997,1.7882368238527118e-06,0.3299312614030385,COMPLETE
363,363,16239.999999999975,2024-02-27 03:06:42.763565,2024-02-27 03:07:07.750708,0 days 00:00:24.987143,gbdt,0.8582396344239291,50,True,0.0007335705443896647,62,4,2314,465,0.00016814435374651196,1.6573280583586152e-05,0.3477665641647695,COMPLETE
279,279,16224.99999999998,2024-02-27 02:28:54.474021,2024-02-27 02:29:19.800728,0 days 00:00:25.326707,gbdt,0.8610382887475165,50,True,0.0025758565599447165,64,4,2477,479,0.0008144431940046504,3.2130684443826616e-06,0.32270308913158946,COMPLETE
336,336,16214.999999999998,2024-02-27 02:53:56.202634,2024-02-27 02:54:19.147500,0 days 00:00:22.944866,gbdt,0.8490929644977977,58,True,0.0020393279471262074,66,4,2110,364,0.0005725680934906325,1.0530859848818227e-05,0.3132116316399572,COMPLETE
330,330,16204.999999999987,2024-02-27 02:51:26.656323,2024-02-27 02:51:58.497804,0 days 00:00:31.841481,gbdt,0.8815131847240945,76,True,0.0008858876422613883,69,4,2867,497,0.0023034959968913785,4.64730469675326e-05,0.36491466302190106,COMPLETE
166,166,16194.999999999978,2024-02-27 01:40:57.067359,2024-02-27 01:41:20.385471,0 days 00:00:23.318112,gbdt,0.8117350046323857,64,True,0.0018790833470569142,61,4,2154,484,0.000431809583935276,1.0357585809511674e-05,0.371367749243942,COMPLETE
265,265,16184.999999999975,2024-02-27 02:21:59.055281,2024-02-27 02:22:21.727206,0 days 00:00:22.671925,gbdt,0.8884141832221887,65,True,0.0014421791421156223,62,4,2059,492,0.00010577661524151205,3.2978725371322884e-06,0.3498476543085004,COMPLETE
494,494,16179.999999999993,2024-02-27 04:07:48.283159,2024-02-27 04:08:11.407196,0 days 00:00:23.124037,goss,0.883469939738182,58,True,0.0016555352733345784,69,4,2246,461,0.0006513854774643368,3.3702281056934813e-06,,COMPLETE
463,463,16179.999999999976,2024-02-27 03:52:06.756453,2024-02-27 03:52:29.216384,0 days 00:00:22.459931,gbdt,0.891299185735187,61,True,0.002437558627410466,69,4,2039,478,0.00018238446429352358,3.688890120777421e-05,0.41490972511687635,COMPLETE
361,361,16170.000000000002,2024-02-27 03:05:37.103043,2024-02-27 03:05:59.406534,0 days 00:00:22.303491,gbdt,0.8509956256188633,56,True,0.0015471554062055266,68,4,2168,442,7.399024748735324e-08,7.644582034370983e-06,0.313913015837235,COMPLETE
187,187,16165.000000000004,2024-02-27 01:50:02.699400,2024-02-27 01:50:24.553025,0 days 00:00:21.853625,gbdt,0.887616474531374,52,True,0.0012917769236831665,66,4,2049,433,0.0002430974180834411,4.614890867227456e-06,0.3003024928408867,COMPLETE
364,364,16154.999999999996,2024-02-27 03:07:07.751451,2024-02-27 03:07:26.929472,0 days 00:00:19.178021,gbdt,0.8274728943446005,66,True,0.001363990454134335,69,4,1747,494,0.0004725869627088814,9.797119833942018e-06,0.36660194800054535,COMPLETE
184,184,16150.000000000004,2024-02-27 01:48:55.688651,2024-02-27 01:49:16.681537,0 days 00:00:20.992886,gbdt,0.8875825411672928,51,True,0.0011493288430749124,66,4,2041,453,0.000575506163563007,2.2292457618605157e-06,0.3304531545838908,COMPLETE
218,218,16114.999999999993,2024-02-27 02:02:40.787272,2024-02-27 02:03:04.293586,0 days 00:00:23.506314,gbdt,0.8636206520571953,51,True,0.0014195127976550422,70,4,2192,496,0.00024032906606259006,8.083350273403515e-06,0.36427069235028187,COMPLETE
150,150,16079.999999999996,2024-02-27 01:35:08.012758,2024-02-27 01:35:30.702465,0 days 00:00:22.689707,gbdt,0.8018812265797545,92,True,0.0008305941702821904,66,4,1956,53,0.0001459347072074453,2.142078724135062e-05,0.36711673625979047,COMPLETE
249,249,16075.000000000004,2024-02-27 02:15:28.196727,2024-02-27 02:15:52.939037,0 days 00:00:24.742310,gbdt,0.8774430437828451,51,True,0.001803859823856223,69,4,2274,274,0.00047855066819432876,8.887489020777805e-06,0.40611083528382874,COMPLETE
301,301,16069.999999999998,2024-02-27 02:40:11.939627,2024-02-27 02:40:32.005269,0 days 00:00:20.065642,gbdt,0.8999738779973242,60,True,0.0015794133897322805,69,4,1772,473,0.0005375316087786628,1.4569810746908736e-05,0.3770159712480365,COMPLETE
115,115,16064.999999999985,2024-02-27 01:22:16.611192,2024-02-27 01:22:40.064969,0 days 00:00:23.453777,gbdt,0.7012983516945123,84,True,0.0021246980434759307,71,8,1438,30,0.15083200099758734,4.847323841173528e-05,0.42189858969934135,COMPLETE
141,141,16059.999999999985,2024-02-27 01:31:54.119982,2024-02-27 01:32:17.242277,0 days 00:00:23.122295,gbdt,0.754147898422288,98,True,0.000823445873396205,66,4,1918,33,0.01493627906633141,6.213756883010747e-06,0.39833518298510096,COMPLETE
142,142,16059.999999999975,2024-02-27 01:32:17.243079,2024-02-27 01:32:40.493778,0 days 00:00:23.250699,gbdt,0.7958096900896077,104,True,0.0008703887012534203,67,4,1933,33,0.016297682431628966,1.3756577295912964e-05,0.3576684483405752,COMPLETE
226,226,16054.999999999987,2024-02-27 02:05:36.610501,2024-02-27 02:05:57.990580,0 days 00:00:21.380079,gbdt,0.8987965005641897,66,True,0.001059405632962207,63,4,1939,448,8.476694500370045e-05,1.677235548006766e-05,0.36615636391527406,COMPLETE
162,162,16049.999999999975,2024-02-27 01:39:26.820215,2024-02-27 01:39:50.475121,0 days 00:00:23.654906,gbdt,0.8193213733459406,63,True,0.0015434872696590022,62,4,2128,492,0.00035197680781699547,2.301772235536287e-05,0.37290750956341406,COMPLETE
101,101,16044.999999999998,2024-02-27 01:17:45.556719,2024-02-27 01:17:59.487505,0 days 00:00:13.930786,gbdt,0.6366471208413904,64,True,0.000850143871413079,93,4,1296,29,0.06306952523069373,1.7634696286731295,0.44206931569566477,COMPLETE
371,371,16009.99999999999,2024-02-27 03:09:48.374311,2024-02-27 03:10:09.367628,0 days 00:00:20.993317,gbdt,0.8996618612977351,64,True,0.0028985130482188527,72,4,2036,486,0.0010869249831528746,1.1677551428857825e-08,0.3251825811906824,COMPLETE
401,401,15999.999999999996,2024-02-27 03:23:02.984860,2024-02-27 03:23:27.917588,0 days 00:00:24.932728,gbdt,0.8172212005070193,88,True,0.0009612556481265751,66,4,2131,355,6.90914782493943e-05,8.742925330588974e-06,0.38325738614205307,COMPLETE
396,396,15990.0,2024-02-27 03:21:02.219441,2024-02-27 03:21:25.204755,0 days 00:00:22.985314,gbdt,0.5332237217069276,64,True,0.004036993616924102,74,4,2172,483,0.0004567231909181428,7.478636715430933e-06,0.4090185645577818,COMPLETE
385,385,15984.999999999987,2024-02-27 03:16:44.944981,2024-02-27 03:17:12.862949,0 days 00:00:27.917968,gbdt,0.8380896306747521,59,True,0.0010157026793750912,68,4,2613,471,0.00022001397746643938,1.0062941988858249e-05,0.3930835334703312,COMPLETE
443,443,15974.999999999995,2024-02-27 03:42:04.906000,2024-02-27 03:42:24.860518,0 days 00:00:19.954518,gbdt,0.8211010965609423,64,True,0.00195175945466685,65,4,1901,494,0.00025381983604971683,1.1770610765454223e-05,0.3498225814081133,COMPLETE
221,221,15974.99999999998,2024-02-27 02:03:45.843943,2024-02-27 02:04:05.792764,0 days 00:00:19.948821,gbdt,0.8906607738453365,50,True,0.0014448683831087576,69,4,1912,455,0.0002429348489895491,7.889543560211849e-06,0.3616093339946429,COMPLETE
257,257,15974.999999999978,2024-02-27 02:18:46.866253,2024-02-27 02:19:10.615387,0 days 00:00:23.749134,gbdt,0.8734622569055961,69,True,0.0011592307963693006,66,4,2238,380,0.0007283331184287387,2.021339756023631e-05,0.3327232954432434,COMPLETE
414,414,15959.999999999975,2024-02-27 03:28:50.409004,2024-02-27 03:29:15.977355,0 days 00:00:25.568351,gbdt,0.8617722695141873,64,True,0.00275195738688508,82,4,2154,498,0.0004664034496257602,2.2935271440982857e-05,0.5710017225556052,COMPLETE
408,408,15954.999999999993,2024-02-27 03:26:26.411730,2024-02-27 03:26:50.997575,0 days 00:00:24.585845,gbdt,0.7988385038601319,85,True,0.0007856829567968398,64,4,2254,434,0.00011073485001023414,6.937753023107262e-06,0.3637137443816211,COMPLETE
264,264,15914.999999999975,2024-02-27 02:21:36.703562,2024-02-27 02:21:59.054472,0 days 00:00:22.350910,gbdt,0.8353698327321482,74,True,0.0012145172298839214,67,4,2095,502,0.000316563170943434,2.837419778765119e-05,0.3420615090244028,COMPLETE
424,424,15899.999999999985,2024-02-27 03:33:15.025348,2024-02-27 03:33:40.441432,0 days 00:00:25.416084,gbdt,0.7339339359971245,64,True,0.0007038037780645708,71,4,2427,503,0.0009927964359863289,5.518701825519531e-05,0.41370357348778686,COMPLETE
191,191,15889.999999999973,2024-02-27 01:51:29.956612,2024-02-27 01:51:50.185632,0 days 00:00:20.229020,gbdt,0.8890904067437437,50,True,0.0009469108023260371,66,4,1965,477,0.00017446278170202308,2.2807621398943374e-06,0.3118495361957652,COMPLETE
143,143,15884.999999999995,2024-02-27 01:32:40.494544,2024-02-27 01:33:03.418554,0 days 00:00:22.924010,gbdt,0.8240935713960176,102,True,0.0008469750470179212,65,4,1917,32,0.020495368959538886,3.2754189587885127e-06,0.3433947731775877,COMPLETE
193,193,15884.999999999985,2024-02-27 01:52:10.574178,2024-02-27 01:52:32.025189,0 days 00:00:21.451011,gbdt,0.8936338027911983,50,True,0.0013130902149544681,66,4,2051,476,0.00016706151574540215,2.152070676155283e-06,0.30548288491452036,COMPLETE
198,198,15850.0,2024-02-27 01:54:00.051632,2024-02-27 01:54:22.788123,0 days 00:00:22.736491,gbdt,0.855210506707062,65,True,0.0013698028446543255,75,4,2071,417,0.0006630046110101872,1.7229593562024988e-05,0.3337532495033065,COMPLETE
473,473,15845.000000000002,2024-02-27 03:58:35.072673,2024-02-27 03:58:58.637587,0 days 00:00:23.564914,gbdt,0.8359047804517058,50,True,0.002930311900487834,54,4,2215,480,0.0002925188490310438,1.699250560478225e-06,0.3424367937010073,COMPLETE
321,321,15809.99999999999,2024-02-27 02:48:00.597517,2024-02-27 02:48:19.714465,0 days 00:00:19.116948,gbdt,0.868434568635454,50,True,0.001511552640384805,53,4,1830,463,0.00021462306907192997,9.936121766069009e-05,0.310517907975696,COMPLETE
304,304,15809.999999999987,2024-02-27 02:41:16.637864,2024-02-27 02:41:41.952601,0 days 00:00:25.314737,gbdt,0.825101446534609,67,True,0.0006983491465542484,65,4,2272,463,2.5672795535959907e-05,2.1564340289717102e-05,0.3718550997904056,COMPLETE
407,407,15800.000000000004,2024-02-27 03:26:04.167238,2024-02-27 03:26:26.411005,0 days 00:00:22.243767,gbdt,0.8833869091184812,58,True,0.0006429948666139414,71,4,1929,254,0.00028227696567828173,2.4718362441433212e-05,0.4346418365353184,COMPLETE
454,454,15799.999999999989,2024-02-27 03:47:52.169783,2024-02-27 03:48:15.749904,0 days 00:00:23.580121,gbdt,0.8123312948846034,64,True,0.0012900424867850703,62,4,2042,468,0.0013003079193948453,2.6583566675336978e-05,0.446486602572812,COMPLETE
